"","num.par_cz","char.par_czname","char.par_stateabbrv","num.par_stateabbrv","char.pop2000","num.pop2000","num.intersects_msa","num.cs_race_black","num.cs_race_theil_2000","num.cs00_seg_inc","num.cs00_seg_inc_pov25","num.cs00_seg_inc_aff75","num.frac_traveltime","num.hhinc00","num.hhinc002","num.gini","num.inc_share_1perc","num.gini99","num.frac_middleclass","num.inc_shar_1perc2","num.taxrate","num.subcty_total_exp","num.tax_st_diff_top20","num.eitc_exposure","num.ccd_exp_total","num.ccd_pup","num.score_r","num.dropout_r","num.num_inst_pc","num.tuition","num.gradrate_r","num.cs_labforce","num.cs_elf_ind_man","num.tradeusch","num.frac_worked","num.mig_inflow","num.mig_outflow","num.cs_born_foreign","num.scap","num.reltotal","num.crime","num.cs_family","num.cs_divorced","num.cs_married","num.inc_growth"
"1",100,"Johnson City","TN",43,"576,081",NA,1,0.0208408199250698,0.0903837382793427,0.0348656848073006,0.0301531907171011,0.0382395423948765,0.325257778167725,31559.767578125,31559.767578125,0.468039989471436,13.4589996337891,0.333449989557266,0.547959983348846,181.144671142334,0.0171837154775858,1886.14831542969,0,0,5.18454716495704,NA,2.72837901115417,-0.0152656184509397,0.0138869360089302,4816.8154296875,-0.00243116123601794,0.587347447872162,0.23739717900753,5.29378633866603,0.00375290005467832,0.00563983189863925,0.00469725611502549,0.0117837060242891,-0.297858300357225,0.514403343200684,0.00140952400397509,0.189803153276443,0.110172919929028,0.600892901420593,-0.00227762921713293
"2",200,"Morristown","TN",43,"227,816",NA,1,0.0197791196405888,0.0931530073285103,0.0262809079140425,0.0278582461178303,0.0253347717225552,0.276427805423737,29958.93359375,29958.93359375,0.434590011835098,10.6310005187988,0.328280001878738,0.537500023841858,113.018172030701,0.0188807751983404,2004.33679199219,0,0,4.50588557836931,NA,-3.40027356147766,-0.023520689457655,0.00877901446074247,4762.22509765625,-0.101182743906975,0.624974191188812,0.237755626440048,3.03047916643889,0.00477730017155409,0.0162060610317098,0.0142351722442673,0.0230553150177002,-0.767354773499461,0.543895065784454,0.00184359308332205,0.185106009244919,0.115958407521248,0.613359093666077,-0.00215284968726337
"3",301,"Middlesborough","TN",43,"66,708",NA,0,0.0146459192037582,0.0642500892281532,0.0240811221301556,0.0146830771118402,0.0258143190294504,0.358535826206207,22328.484375,22328.484375,0.440950006246567,10.6909999847412,0.334040015935898,0.466850012540817,114.297480673737,0.0127501431852579,1189.82019042969,0,0,5.61411901822662,15.0849369369369,-9.31506156921387,-0.00462905829772353,0.0449721179902554,11840.3525390625,0.111298486590385,0.478963136672974,0.233531400561333,2.06259635167653,0.00289319991134107,0.00805000899442346,0.0116028062601187,0.00707803713157773,-1.27025127171524,0.667805969715118,0.000854470243211836,0.211002707481384,0.113451436161995,0.59028035402298,-0.0037121451459825
"4",302,"Knoxville","TN",43,"727,600",NA,1,0.0563647598028183,0.209994316101074,0.092103622853756,0.0842674002051353,0.101965621113777,0.268569588661194,35884.29296875,35884.29296875,0.508319973945618,15.0800008773804,0.3575199842453,0.504100024700165,227.406426461793,0.0160667318850756,2356.8505859375,0,0,4.89984624946338,NA,-6.03183078765869,-0.0110711213201284,0.0109950518235564,3480.43530273438,-0.0238261260092258,0.614830553531647,0.145505398511887,1.07830849762657,0.00428749993443489,0.01630291368884,0.0135541506322155,0.019967470318079,-0.221884615529828,0.601952970027924,0.00134414515923709,0.205602258443832,0.114277794957161,0.575149953365326,-0.0019974154420197
"5",401,"Winston-Salem","NC",28,"493,180",NA,1,0.173530966043472,0.262387990951538,0.0718666613101959,0.0610805861651897,0.0806255340576172,0.291814088821411,38891.74609375,38891.74609375,0.465530008077621,11.9169998168945,0.346359997987747,0.499909996986389,142.014884635864,0.0158777460455894,1891.45043945312,1,0,5.46267632491277,15.3852809067376,-2.297034740448,0.0229661371558905,0.014193600974977,9715.328125,0.0515533983707428,0.656086981296539,0.215198531746864,1.0160847787978,0.00376289989799261,0.0221014639685308,0.018619976479176,0.0529481954872608,-0.0177959587847568,0.487937480211258,0.0026578651741147,0.220470860600471,0.0923505201935768,0.585897207260132,-0.0140494024381042
"6",402,"Martinsville","VA",46,"92,753",NA,0,0.223809465765953,0.136525630950928,0.0237311087548733,0.0153754083439708,0.0282695442438126,0.313024282455444,31264.8125,31264.8125,0.444480001926422,10.6799993515015,0.337680011987686,0.538389980792999,114.062386148072,0.0136217270046473,1557.87902832031,0,0,5.73986007143207,NA,4.22738075256348,NA,0.0107813226059079,1113,-0.115502454340458,0.599392950534821,0.39450666308403,3.27667141380185,0.00328740011900663,0.0068137957801904,0.0100697551561675,0.0249921176582575,-0.902815133151946,0.454432725906372,0.00189751270227134,0.240885064005852,0.0956399589776993,0.579521715641022,-0.0113832280039787
"7",500,"Greensboro","NC",28,"1,055,133",NA,1,0.217559307813644,0.220064952969551,0.0676531568169594,0.0575889311730862,0.0767980441451073,0.304932624101639,36581.83984375,36581.83984375,0.523580014705658,18.2280006408691,0.341300010681152,0.510089993476868,332.260007363526,0.014899474568665,1932.45568847656,1,0,5.00779630447076,16.6780065660638,-3.71599340438843,0.0155280884355307,0.014216217212379,4528.4892578125,-0.0174334943294525,0.665944635868073,0.261346876621246,2.05050014471393,0.00353490002453327,0.0165078715195146,0.0153705741361516,0.0502233356237411,-0.513180378824653,0.433968991041183,0.00346085662022233,0.236605539917946,0.0955471768975258,0.560194790363312,-0.0135504035279155
"8",601,"North Wilkesboro","NC",28,"90,016",NA,0,0.0319276563823223,0.114096410572529,0.0118960747495294,0.00860197842121124,0.0124235264956951,0.289335608482361,31544.05859375,31544.05859375,0.446029990911484,12.6450004577637,0.319579988718033,0.560180008411407,159.896036576843,0.0108070597052574,1661.02551269531,1,0,5.29609072865982,16.177969762419,6.69818925857544,0.0210332348942757,0.0111091360449791,880,-0.123175002634525,0.617434978485107,0.275379449129105,2.57285269813057,0.00336939981207252,0.0119756487735514,0.0118867756843228,0.0274268537759781,-0.193093086452976,0.561389088630676,0.00265723839402199,0.165201246738434,0.0873081982135773,0.632262527942657,-0.0108258165419102
"9",602,"Galax","VA",46,"64,676",NA,0,0.0289597380906343,0.131197482347488,0.0054097156971693,0.00416571320965886,0.00566125800833106,0.325102001428604,30683.0078125,30683.0078125,0.356209993362427,8.70599937438965,0.269149988889694,0.608420014381409,75.7944251068729,0.0108722280710936,1208.09375,0,0,5.37667933355517,12.3262978142077,4.89955425262451,NA,NA,NA,NA,0.593686163425446,0.321083664894104,4.30258311577138,0.00391420023515821,0.00553528356732018,0.00579813222833818,0.022852448746562,-0.801190364705674,0.43017503619194,0.00132970500271767,0.166802391409874,0.0894557610154152,0.62223482131958,-0.00967353954911232
"10",700,"Spartanburg","SC",41,"354,533",NA,1,0.20749831199646,0.139496505260468,0.0451206006109715,0.0441603995859623,0.0451741442084312,0.298970460891724,33416.75390625,33416.75390625,0.471300005912781,13.0610008239746,0.340690016746521,0.528500020503998,170.589742523865,0.0155269075185061,2498.80541992188,0,0,5.42149512366161,15.9399343427095,-1.0086954832077,NA,0.0197442825883627,7264.36328125,0.00668467534705997,0.629530847072601,0.294631034135818,0.945886281670405,0.00394049985334277,0.0170280340617093,0.0155584952599617,0.0290639046579599,-1.00088783196428,0.596085548400879,0.00327826547436416,0.246102973818779,0.0986877679824829,0.561310648918152,-0.0138566857203841
