"","char.par_stateabbrv","num.par_cz","char.par_czname","char.par_state","num.par_state","num.kid_count","num.kid_count_g_m","num.kid_count_g_f","num.inventor","log.num.inventor.na","num.inventor_cat_1","num.inventor_cat_2","num.inventor_cat_3","num.inventor_cat_4","num.inventor_cat_5","num.inventor_cat_6","num.inventor_g_m","log.num.inventor.g.m.na","num.inventor_cat_1_g_m","num.inventor_cat_2_g_m","num.inventor_cat_3_g_m","num.inventor_cat_4_g_m","num.inventor_cat_5_g_m","num.inventor_cat_6_g_m","num.inventor_cat_7_g_m","num.inventor_g_f","log.num.inventor.g.f.na","num.inventor_cat_1_g_f","num.inventor_cat_2_g_f","num.inventor_cat_3_g_f","num.inventor_cat_4_g_f","num.inventor_cat_5_g_f","num.inventor_cat_6_g_f","num.inventor_cat_7_g_f","num.par_stateabbrv","char.pop2000","num.pop2000","num.intersects_msa","num.cs_race_black","num.cs_race_theil_2000","num.cs00_seg_inc","num.cs00_seg_inc_pov25","num.cs00_seg_inc_aff75","num.frac_traveltime","num.hhinc00","num.hhinc002","num.gini","num.inc_share_1perc","num.gini99","num.frac_middleclass","num.inc_shar_1perc2","num.taxrate","num.subcty_total_exp","num.tax_st_diff_top20","num.eitc_exposure","num.ccd_exp_total","num.ccd_pup","num.score_r","num.dropout_r","num.num_inst_pc","num.tuition","num.gradrate_r","num.cs_labforce","num.cs_elf_ind_man","num.tradeusch","num.frac_worked","num.mig_inflow","num.mig_outflow","num.cs_born_foreign","num.scap","num.reltotal","num.crime","num.cs_family","num.cs_divorced","num.cs_married","num.inc_growth"
"1","AK",34102,"Anchorage","Alaska",2,25004,12723,12281,0.0019597,-6.23496387867927,0.00016,0.0005599,0.00012,0.0003199,0.00024,0.0003599,0.0030653,-5.78760983510161,0.0003144,0.0010218,0.0002358,0.0005502,0.000393,0.0003144,0.0002358,0.0008143,-7.11318170949119,0,8.14e-05,0,8.14e-05,8.14e-05,0.0004071,0.0001629,1,"369,296",NA,1,0.041389562189579,0.0818723663687706,0.0824060887098312,0.0727272406220436,0.0923343151807785,0.363817483186722,41724.3515625,41724.3515625,0.350380003452301,8.65700054168701,0.263810008764267,0.475470006465912,74.9436583787692,0.0205205585807562,3856.640625,0,0,8.70598713920393,20.0059272907661,-5.59903240203857,0.0444360710680485,0.00812356453388929,2786.2919921875,-0.199680164456367,0.715181589126587,0.0244462750852108,NA,0.00495370011776686,0.0289496772236905,0.0293233612061869,0.0654148161411285,NA,0.344030261039734,0.00188163085840642,0.200262621045113,0.124504737555981,0.551553964614868,0.00193788902834058
"2","AK",34109,"Juneau","Alaska",2,2611,1344,1267,0.00383,-5.56489047578958,0,0.002298,0.000766,0.000383,0,0.000383,0.0066964,-5.00618521042264,0,0.0044643,0.000744,0.000744,0,0.000744,0,0.0007893,-7.14436408124992,0,0,0.0007893,0,0,0,0,1,"37,347",NA,0,0.00653332239016891,0.0511971041560173,0.0394261330366135,0.0357838235795498,0.0425979420542717,0.547181248664856,43595.36328125,43595.36328125,0.283399999141693,5.47499990463257,0.228650003671646,0.478780001401901,29.9756239557266,0.0266775581985712,4509.21435546875,0,0,9.21674791386876,27.7259755387303,-4.64338302612305,0.0359960310161114,0.0267759133130312,2460,-0.208429798483849,0.738068640232086,0.0169214252382517,NA,0.0064241997897625,0.0138966985300024,0.0176185503521032,0.0513653047382832,NA,0.240490540862083,0.00379628548398614,0.193453550338745,0.116957657039165,0.539799273014069,0.000813465390820056
"3","AK",34115,"Fairbanks","Alaska",2,6910,3547,3363,0.0021708,-6.13265951577502,0,0.0008683,0.0001447,0.0002894,0.0002894,0.0004342,0.0036651,-5.60889965888615,0,0.0016916,0.0002819,0.0002819,0.0005639,0.0005639,0.0002819,0.0005947,-7.42745348125173,0,0,0,0.0002974,0,0.0002974,0,1,"97,458",NA,1,0.0499702431261539,0.138551369309425,0.0596741288900375,0.0507951527833939,0.066821314394474,0.476813048124313,35935.40625,35935.40625,0.311479985713959,7.60500001907349,0.235429987311363,0.541130006313324,57.8360252901077,0.0150502426549792,2655.19848632812,0,0,8.84901028736334,18.1530888820702,-3.75365614891052,0.051491241902113,0.0102608306333423,2460,-0.157061755657196,0.724844455718994,0.0215510819107294,NA,0.00537140015512705,0.0330809169077962,0.0386320261035523,0.0416898056864738,NA,0.341849833726883,0.00244582048617303,0.177454501390457,0.106074191629887,0.559990048408508,0.00437832158058882
"4","AL",10302,"Dothan","Alabama",1,14332,7279,7052,0.0006977,-7.26772134701908,0.0001395,0.0003489,0,6.98e-05,0,6.98e-05,0.0012364,-6.69555134770631,0.0002748,0.0006869,0,0.0001374,0,0.0001374,0,0.0001418,-8.86109294386625,0,0,0,0,0,0,0.0001418,2,"223,605",NA,1,0.212548911571503,0.142392262816429,0.0499653406441212,0.0464932695031166,0.055158756673336,0.360896050930023,32267.80078125,32267.80078125,0.49753999710083,12.7069997787476,0.370469987392426,0.485489994287491,161.467843377091,0.00956512335687876,2187.23266601562,0,0,4.82210024018088,17.2494207575116,-11.8233280181885,0.00646560546010733,0.0134165156632662,1580.12377929688,-0.097287617623806,0.607866704463959,0.15941110253334,0.744049178329508,0.00331539986655116,0.0175309138883299,0.0179378815321661,0.0199409816414118,-1.4002219003125,0.631837368011475,0.00176650786306709,0.247671499848366,0.107315830886364,0.58868396282196,-0.00666651362553239
"5","AL",10700,"Birmingham","Alabama",1,62246,31178,31056,0.0010442,-6.86450423698782,0.0001285,0.0003534,0.0001285,8.03e-05,8.03e-05,0.0001928,0.0017641,-6.34011463366191,0.0001924,0.0007056,0.0001604,0.0001283,0.0001283,0.0003849,6.41e-05,0.000322,-8.04095901241987,6.44e-05,0,9.66e-05,3.22e-05,3.22e-05,0,9.66e-05,2,"1,038,182",NA,1,0.27057009935379,0.419931203126907,0.107815265655518,0.0957674831151962,0.118299946188927,0.219744652509689,38196.0703125,38196.0703125,0.563229978084564,16.0629997253418,0.402599990367889,0.452930003404617,258.019960176331,0.0168140139430761,1864.4697265625,0,0,5.138759707014,17.2670161227696,-12.1331701278687,-0.00325431535020471,0.0125218890607357,5277.08740234375,-0.0415832735598087,0.623560607433319,0.119994126260281,0.37806647938054,0.00367399980314076,0.0172773174645679,0.0162100672136485,0.0222123097628355,-0.392472187140683,0.579601645469666,0.00189567252527922,0.242023944854736,0.107607714831829,0.552810609340668,-0.00416379841044545
"6","AL",10801,"Tuscaloosa","Alabama",1,16665,8326,8338,0.00042,-7.77525584668686,0,0.00024,6e-05,6e-05,0,0,0.0007206,-7.23542635965028,0,0.0004804,0,0.0001201,0,0,0.0001201,0.0001199,-9.02885249593081,0,0,0.0001199,0,0,0,0,2,"261,112",NA,1,0.383172750473022,0.271511554718018,0.0875914394855499,0.0867386236786842,0.0819002687931061,0.342858791351318,30158.423828125,30158.423828125,0.559499979019165,14.7550001144409,0.411949992179871,0.413419991731644,217.710028377152,0.0110244629904628,1978.67211914062,0,0,4.86237350218706,16.8714139799272,-19.8051662445068,-0.000335245946189389,0.0306381937116385,3229.04052734375,0.14386922121048,0.571104884147644,0.176810428500175,1.1945385265175,0.00263249990530312,0.0179616409816477,0.0172110052391311,0.0153991868719459,-1.12446266688999,0.47504135966301,0.00234765163622797,0.31107884645462,0.0917526036500931,0.486179679632187,-0.015876704826951
"7","AL",11001,"Mobile","Alabama",1,39036,19702,19327,0.0006917,-7.27635822235773,7.69e-05,0.0002049,7.69e-05,7.69e-05,7.69e-05,5.12e-05,0.0010659,-6.84393576626918,0.0001015,0.0003553,0.0001015,5.08e-05,0.0001015,0.0001015,0.0002538,0.0003104,-8.07764876965521,5.17e-05,5.17e-05,5.17e-05,0.0001035,5.17e-05,0,0,2,"599,405",NA,1,0.289221823215485,0.316935151815414,0.0767923817038536,0.0837995260953903,0.0707673504948616,0.266943991184235,33321.26171875,33321.26171875,0.531140029430389,13.0290002822876,0.400850027799606,0.459479987621307,169.75484835585,0.0146970003843307,1804.57873535156,0,0,4.50405905542979,17.8086492155126,-11.9378747940063,0.000165223173098639,0.0116782477125525,4673.392578125,-0.0394723489880562,0.587247550487518,0.1492580473423,0.773093072473928,0.00325619988143444,0.015732267832267,0.0129445032991049,0.0205777958035469,-0.984364171775608,0.514820516109467,0.00217882730066776,0.272689640522003,0.107071325182915,0.549947917461395,-0.0062064016237855
"8","AL",11101,"Montgomery","Alabama",1,24406,12217,12187,0.0005327,-7.53755214404132,8.19e-05,0.0002868,4.1e-05,0,0,4.1e-05,0.0009822,-6.92571560435913,0.0001637,0.000573,8.19e-05,0,0,8.19e-05,8.19e-05,8.21e-05,-9.40757254150589,0,0,0,0,0,0,8.21e-05,2,"367,927",NA,1,0.401142060756683,0.264565140008926,0.10175721347332,0.103214405477047,0.103019669651985,0.277933448553085,33533.47265625,33533.47265625,0.553699970245361,13.41100025177,0.419589966535568,0.436060011386871,179.854927752976,0.013189465738833,1662.8671875,0,0,4.42371220705755,17.8636458622435,-17.88649559021,0.00456873932853341,0.0244613736867905,3753.11596679688,-0.0534360073506832,0.604708194732666,0.116538219153881,0.558182616000631,0.00316940015181899,0.0193842800338111,0.0199686350825028,0.0154089005663991,-0.712833739789403,0.496815949678421,0.00166400603484362,0.30113673210144,0.112796872854233,0.516525745391846,-0.00313442922197282
"9","AL",6000,"Huntsville","Alabama",1,30643,15498,15140,0.0016643,-6.39835066437159,0.0001632,0.0005874,0.0001958,0.0001958,0.0001958,0.0002937,0.0025165,-5.98488623174786,0.0002581,0.0010969,0.0003226,0.0001936,0.0002581,0.0003871,0,0.0007926,-7.14019187720794,6.61e-05,6.61e-05,6.61e-05,0.0001982,0.0001321,0.0001982,6.61e-05,2,"519,583",NA,1,0.174359053373337,0.225322917103767,0.0889056175947189,0.0813635736703873,0.0978787988424301,0.286243110895157,37729.7265625,37729.7265625,0.443010002374649,10.5710000991821,0.337300002574921,0.482050001621246,111.746043096909,0.0123837180435658,2946.81298828125,0,0,5.14025010047913,16.476579589968,-7.67856693267822,-0.00633452972397208,0.0115477219223976,2761.0830078125,-0.147014409303665,0.647023975849152,0.228049427270889,2.4790474091656,0.00361549993976951,0.0183762748203848,0.0143441952488823,0.0299855340272188,-1.02918584797878,0.558842360973358,0.00150096986908466,0.204004183411598,0.107689261436462,0.59512585401535,-0.00430373102426529
"10","AL",6100,"Gadsden","Alabama",1,17878,8941,8936,0.0005034,-7.59412547526306,0,0.0001678,0,0.0001119,0.0001119,0.0001119,0.0008948,-7.0189103283483,0,0.0003355,0,0.0002237,0.0001118,0.0002237,0,0.0001119,-9.09790494264639,0,0,0,0,0.0001119,0,0,2,"304,068",NA,1,0.0637357458472252,0.265146672725677,0.031008917838335,0.028345201164484,0.0316982008516788,0.327892690896988,30841.69140625,30841.69140625,0.440699994564056,10.9079999923706,0.33161997795105,0.528739988803864,118.984463833557,0.0116747859865427,1756.96667480469,0,0,4.59127401034749,17.5609352389637,-7.76747465133667,0.00900947488844395,0.00986621435731649,1449.4931640625,-0.0541557446122169,0.596470952033997,0.295728772878647,2.00669444742057,0.00377999991178513,0.0109942512858966,0.0123229014562532,0.0263631399720907,-1.02394969958073,0.620459914207458,0.00161712837871164,0.19759975373745,0.109828069806099,0.610539793968201,-0.0118726221844554
