par_cz,par_czname,par_state,par_stateabbrv,kid_count,inventor,inventor_cat_1,inventor_cat_2,inventor_cat_3,inventor_cat_4,inventor_cat_5,inventor_cat_6,inventor_cat_7,kid_count_g_m,inventor_g_m,inventor_cat_1_g_m,inventor_cat_2_g_m,inventor_cat_3_g_m,inventor_cat_4_g_m,inventor_cat_5_g_m,inventor_cat_6_g_m,inventor_cat_7_g_m,kid_count_g_f,inventor_g_f,inventor_cat_1_g_f,inventor_cat_2_g_f,inventor_cat_3_g_f,inventor_cat_4_g_f,inventor_cat_5_g_f,inventor_cat_6_g_f,inventor_cat_7_g_f
1400,Fayetteville,North Carolina,NC,39260,0.0008151,0.0001019,0.0002547,0.0000255,0.0001274,0.0000764,0.0001783,0.0000509,19553,0.001432,0.0001534,0.0004091,0.0000511,0.0002557,0.0001534,0.0003069,0.0001023,19706,0.000203,0.0000507,0.0001015,0,0,0,0.0000507,0
1500,Wilmington,North Carolina,NC,18429,0.0010852,0.0001085,0.0003256,0.0000543,0.0001628,0.0001085,0.0002713,0.0000543,9307,0.0017191,0.0002149,0.0005372,0,0.0002149,0.0002149,0.0005372,0,9122,0.0004385,0,0.0001096,0.0001096,0.0001096,0,0,0.0001096
1600,Wilson,North Carolina,NC,13562,0.0005899,0,0,0.0002212,0,0,0.0002949,0.0000737,6784,0.0008844,0,0,0.0001474,0,0,0.0005896,0.0001474,6778,0.0002951,0,0,0.0002951,0,0,0,0
1701,Raleigh,North Carolina,NC,67194,0.0029913,0.0001935,0.0011162,0.000506,0.0003423,0.0003423,0.0003721,0.0001191,33593,0.0046141,0.0001786,0.0018456,0.0006847,0.0005656,0.0006847,0.0005656,0.0000893,33587,0.0013696,0.0002084,0.0003871,0.0003275,0.0001191,0,0.0001786,0.0001489
1702,Henderson,North Carolina,NC,3675,0.0008163,0,0.0002721,0,0,0.0005442,0,0,1816,0.001652,0,0.0005507,0,0,0.0011013,0,0,1859,0,0,0,0,0,0,0,0
1800,Goldsboro,North Carolina,NC,12154,0.0008228,0,0.0004114,0.0000823,0,0,0.0002468,0.0000823,5975,0.0015063,0,0.0008368,0.0001674,0,0,0.0003347,0.0001674,6179,0.0001618,0,0,0,0,0,0.0001618,0
1900,Jacksonville,North Carolina,NC,29433,0.001359,0.0001359,0.0003398,0.0002718,0.0001019,0.000034,0.0004077,0.000068,14789,0.0023666,0.0002705,0.0006762,0.0004057,0.0002029,0.0000676,0.0006762,0.0000676,14640,0.0003415,0,0,0.0001366,0,0,0.0001366,0.0000683
2000,Virginia Beach,Virginia,VA,67569,0.0010064,0.000074,0.000222,0.0002368,0.0001332,0.0001036,0.0001628,0.000074,34011,0.0015877,0.0000588,0.000441,0.0002646,0.0002352,0.0002058,0.0002646,0.0001176,33557,0.0004172,0.0000894,0,0.0002086,0.0000298,0,0.0000596,0.0000298
2100,Washington,North Carolina,NC,7359,0.0013589,0.0001359,0.0001359,0.0001359,0.0002718,0.0004077,0.0002718,0,3601,0.0019439,0.0002777,0.0002777,0.0002777,0.0005554,0.0002777,0.0002777,0,3758,0.0007983,0,0,0,0,0.0005322,0.0002661,0
2200,South Boston,Virginia,VA,8528,0.0007036,0,0.0001173,0,0.0002345,0.0001173,0.0001173,0.0001173,4244,0.0011781,0,0,0,0.0004713,0.0002356,0.0002356,0.0002356,4284,0.0002334,0,0.0002334,0,0,0,0,0
2300,Lynchburg,Virginia,VA,12421,0.0009661,0.0000805,0.0004831,0.0000805,0.0000805,0.000161,0,0.0000805,6329,0.00158,0,0.000948,0,0.000158,0.000316,0,0.000158,6091,0.0003284,0.0001642,0,0.0001642,0,0,0,0
2400,Richmond,Virginia,VA,59409,0.0017674,0.000101,0.0005891,0.0001852,0.0001683,0.0002357,0.0003366,0.0001515,29711,0.0027599,0.0001683,0.0009088,0.0002693,0.0003366,0.0003702,0.0005385,0.0001683,29691,0.0007746,0.0000337,0.0002694,0.000101,0,0.000101,0.0001347,0.0001347
