"","char.par_state","num.par_state","char.par_stateabbrv","num.par_cz","char.par_czname","num.kid_count","num.kid_count_g_m","num.kid_count_g_f","num.inventor","log.num.inventor.na","num.inventor_cat_1","num.inventor_cat_2","num.inventor_cat_3","num.inventor_cat_4","num.inventor_cat_5","num.inventor_cat_6","num.inventor_g_m","log.num.inventor.g.m.na","num.inventor_cat_1_g_m","num.inventor_cat_2_g_m","num.inventor_cat_3_g_m","num.inventor_cat_4_g_m","num.inventor_cat_5_g_m","num.inventor_cat_6_g_m","num.inventor_cat_7_g_m","num.inventor_g_f","log.num.inventor.g.f.na","num.inventor_cat_1_g_f","num.inventor_cat_2_g_f","num.inventor_cat_3_g_f","num.inventor_cat_4_g_f","num.inventor_cat_5_g_f","num.inventor_cat_6_g_f","num.inventor_cat_7_g_f"
"27","North Carolina",34,"NC",1800,"Goldsboro",12154,5975,6179,0.0008228,-7.10279740018547,0,0.0004114,8.23e-05,0,0,0.0002468,0.0015063,-6.4980989662555,0,0.0008368,0.0001674,0,0,0.0003347,0.0001674,0.0001618,-8.72914955333988,0,0,0,0,0,0.0001618,0
"28","North Carolina",34,"NC",1900,"Jacksonville",29433,14789,14640,0.001359,-6.60100614381313,0.0001359,0.0003398,0.0002718,0.0001019,3.4e-05,0.0004077,0.0023666,-6.04630095301382,0.0002705,0.0006762,0.0004057,0.0002029,6.76e-05,0.0006762,6.76e-05,0.0003415,-7.98216287895343,0,0,0.0001366,0,0,0.0001366,6.83e-05
"29","Virginia",47,"VA",2000,"Virginia Beach",67569,34011,33557,0.0010064,-6.9013756720181,7.4e-05,0.000222,0.0002368,0.0001332,0.0001036,0.0001628,0.0015877,-6.44546885088081,5.88e-05,0.000441,0.0002646,0.0002352,0.0002058,0.0002646,0.0001176,0.0004172,-7.78194483483766,8.94e-05,0,0.0002086,2.98e-05,0,5.96e-05,2.98e-05
"30","North Carolina",34,"NC",2100,"Washington",7359,3601,3758,0.0013589,-6.60107973003782,0.0001359,0.0001359,0.0001359,0.0002718,0.0004077,0.0002718,0.0019439,-6.24305901459621,0.0002777,0.0002777,0.0002777,0.0005554,0.0002777,0.0002777,0,0.0007983,-7.13302609131252,0,0,0,0,0.0005322,0.0002661,0
"31","Virginia",47,"VA",2200,"South Boston",8528,4244,4284,0.0007036,-7.25930054510087,0,0.0001173,0,0.0002345,0.0001173,0.0001173,0.0011781,-6.7438523077122,0,0,0,0.0004713,0.0002356,0.0002356,0.0002356,0.0002334,-8.36275683811182,0,0.0002334,0,0,0,0,0
"32","Virginia",47,"VA",2300,"Lynchburg",12421,6329,6091,0.0009661,-6.94224320944081,8.05e-05,0.0004831,8.05e-05,8.05e-05,0.000161,0,0.00158,-6.45033043194326,0,0.000948,0,0.000158,0.000316,0,0.000158,0.0003284,-8.021278180386,0.0001642,0,0.0001642,0,0,0,0
"33","Virginia",47,"VA",2400,"Richmond",59409,29711,29691,0.0017674,-6.33824573888037,0.000101,0.0005891,0.0001852,0.0001683,0.0002357,0.0003366,0.0027599,-5.89256083179353,0.0001683,0.0009088,0.0002693,0.0003366,0.0003702,0.0005385,0.0001683,0.0007746,-7.16316379088362,3.37e-05,0.0002694,0.000101,0,0.000101,0.0001347,0.0001347
"34","Virginia",47,"VA",2500,"Newport News",33704,17000,16703,0.0015132,-6.4935286652054,0.0001484,0.0005637,0.0002077,0.0001484,0.0002077,0.000178,0.0024118,-6.02738192229478,0.0002353,0.0009412,0.0002941,0.0002353,0.0003529,0.0002941,5.88e-05,0.0005987,-7.42074992003297,5.99e-05,0.0001796,0.0001197,5.99e-05,5.99e-05,5.99e-05,5.99e-05
"35","North Carolina",34,"NC",2600,"Roanoke Rapids",9231,4610,4621,0.00065,-7.33853819507459,0,0.0002167,0.0001083,0,0.0001083,0.0001083,0.0008677,-7.04966452516483,0,0.0002169,0.0002169,0,0.0002169,0.0002169,0,0.0004328,-7.745234830432,0,0.0002164,0,0,0,0,0.0002164
"36","Mississippi",25,"MS",2700,"Gulfport",28312,14207,14104,0.0007064,-7.25532890867452,0.0001766,0.000106,0.000106,7.06e-05,0.0001413,0.000106,0.0010558,-6.85345650557476,0.0001408,0.0002112,0.0001408,0.0001408,0.0002112,0.0002112,0,0.0003545,-7.94480221199209,0.0002127,0,7.09e-05,0,7.09e-05,0,0
