"","char.par_state","num.par_state","char.par_stateabbrv","num.par_cz","char.par_czname","num.kid_count","num.kid_count_g_m","num.kid_count_g_f","num.inventor","log.num.inventor.na","num.inventor_cat_1","num.inventor_cat_2","num.inventor_cat_3","num.inventor_cat_4","num.inventor_cat_5","num.inventor_cat_6","num.inventor_g_m","log.num.inventor.g.m.na","num.inventor_cat_1_g_m","num.inventor_cat_2_g_m","num.inventor_cat_3_g_m","num.inventor_cat_4_g_m","num.inventor_cat_5_g_m","num.inventor_cat_6_g_m","num.inventor_cat_7_g_m","num.inventor_g_f","log.num.inventor.g.f.na","num.inventor_cat_1_g_f","num.inventor_cat_2_g_f","num.inventor_cat_3_g_f","num.inventor_cat_4_g_f","num.inventor_cat_5_g_f","num.inventor_cat_6_g_f","num.inventor_cat_7_g_f"
"100","Florida",10,"FL",6800,"Lakeland",31525,15955,15570,0.000793,-7.13968733632943,3.17e-05,0.0002538,0.0001269,0.0001586,9.52e-05,6.34e-05,0.0011282,-6.7871318366584,0,0.0005014,6.27e-05,0.0002507,0.0001254,6.27e-05,0.0001254,0.0004496,-7.70715225938479,6.42e-05,0,0.0001927,6.42e-05,6.42e-05,6.42e-05,0
"101","Florida",10,"FL",6900,"Sarasota",29346,14793,14553,0.0014653,-6.52569527932029,6.82e-05,0.0004089,0.0001363,0.0003408,0.0003067,0.0001022,0.0022984,-6.07554205029919,0.0001352,0.000676,6.76e-05,0.0004732,0.0005408,0.0002028,0.0002028,0.0006184,-7.38837506069106,0,0.0001374,0.0002061,0.0002061,6.87e-05,0,0
"102","Florida",10,"FL",7000,"Miami",172669,84755,87886,0.0016332,-6.41721399851885,0.0001042,0.0005386,0.0002374,0.000139,0.0001042,0.0003301,0.0025721,-5.96303259311375,0.0001534,0.0008967,0.0002832,0.0002714,0.0002006,0.0005073,0.0002596,0.0007282,-7.22493482222294,5.69e-05,0.0001934,0.0001934,1.14e-05,1.14e-05,0.0001593,0.0001024
"103","Florida",10,"FL",7100,"Port St. Lucie",65437,32726,32707,0.0023993,-6.0325782508379,0.0001528,0.0007488,0.0002598,0.0003515,0.0002751,0.0003973,0.0040029,-5.52073618054779,0.0002139,0.0013751,0.0003972,0.00055,0.0005195,0.0006111,0.0003361,0.0007949,-7.13729423738521,9.17e-05,0.0001223,0.0001223,0.0001529,3.06e-05,0.0001834,9.17e-05
"104","Florida",10,"FL",7200,"Cape Coral",24471,12318,12151,0.0013077,-6.63948541005182,0,0.0002861,0.0002861,0.0003678,0.0001635,0.0001635,0.0019484,-6.24074675603189,0,0.0004059,0.0004871,0.0004871,0.0002435,0.0003247,0,0.0006584,-7.32569790860141,0,0.0001646,8.23e-05,0.0002469,8.23e-05,0,8.23e-05
"105","Florida",10,"FL",7300,"Palm Bay",29292,14791,14500,0.0022873,-6.08038319633096,0.0001707,0.0008193,0.000239,0.0003755,0.000239,0.0004097,0.0033128,-5.70996152573292,0.0002028,0.0012846,0.0002028,0.0006761,0.0002704,0.0006085,6.76e-05,0.0012414,-6.69151550398472,0.0001379,0.0003448,0.0002759,6.9e-05,0.0002069,0.0002069,0
"106","Florida",10,"FL",7400,"Orlando",85323,42700,42614,0.001465,-6.52590003651311,9.38e-05,0.0004922,0.0001289,0.0002227,0.0001172,0.0002696,0.0024356,-6.01756214622985,0.0001639,0.0008665,0.0001405,0.0004215,0.0001874,0.000445,0.0002108,0.0004928,-7.61540714574496,2.35e-05,0.0001173,0.0001173,2.35e-05,4.69e-05,9.39e-05,7.04e-05
"107","Florida",10,"FL",7500,"Deltona",26015,13214,12799,0.0013069,-6.64009735836128,0.0001538,0.0003844,0.0001922,0.0003075,0.0001153,0.0001153,0.0018919,-6.2701736638719,0.000227,0.0003027,0.000227,0.0006054,0.000227,0.000227,7.57e-05,0.0007032,-7.25986921159331,7.81e-05,0.0004688,0.0001563,0,0,0,0
"108","Florida",10,"FL",7600,"Jacksonville",70290,35116,35172,0.0010812,-6.82968374356198,8.54e-05,0.0002419,0.0001992,0.0002276,8.54e-05,0.0001423,0.0015947,-6.44106964821035,0.0001424,0.0003702,0.0002563,0.0003987,0.0001424,0.0001424,0.0001424,0.0005686,-7.47233335874737,2.84e-05,0.0001137,0.0001422,5.69e-05,2.84e-05,0.0001422,5.69e-05
"109","Florida",10,"FL",7700,"Lake City",8798,4510,4288,0.0009093,-7.00283548523241,0,0.0002273,0.0001137,0.0001137,0.0001137,0.000341,0.0015521,-6.46814642630714,0,0.0004435,0.0002217,0.0002217,0.0002217,0.0004435,0,0.0002332,-8.36361410348794,0,0,0,0,0,0.0002332,0
"110","Florida",10,"FL",7800,"Ocala",16864,8541,8323,0.0010081,-6.89968790790438,0.0001779,0.0002372,0,0,0.0003558,0.0001779,0.0015221,-6.48766431867865,0.0003512,0.0003512,0,0,0.0007025,0.0001171,0,0.0004806,-7.64047523466191,0,0.0001201,0,0,0,0.0002403,0.0001201
"111","Florida",10,"FL",7900,"Gainesville",16366,8262,8104,0.0014054,-6.56743331920618,0.0003666,0.0003055,0.0003666,0.0001833,6.11e-05,0.0001222,0.0024207,-6.0236985244417,0.0004841,0.0006052,0.0006052,0.0003631,0.000121,0.0002421,0,0.0003702,-7.90146715782488,0.0002468,0,0.0001234,0,0,0,0
"112","South Carolina",41,"SC",8000,"Sumter",14416,7235,7180,0.0009018,-7.01111779197729,6.94e-05,0.0003468,0.0001387,0,0.0001387,0,0.0009675,-6.94079513306034,0,0.0004147,0.0001382,0,0.0001382,0,0.0002764,0.0008357,-7.08724086095688,0.0001393,0.0002786,0.0001393,0,0.0001393,0,0.0001393
"113","South Carolina",41,"SC",8100,"Columbia",42775,21391,21382,0.0012858,-6.65637418625669,0.0002104,0.0003974,0.0002338,0.0002104,9.35e-05,0.0001169,0.0021037,-6.16405757982429,0.0004207,0.0007012,0.0002337,0.000374,0.000187,0.0001402,4.67e-05,0.0004677,-7.66768349323243,0,9.35e-05,0.0002338,4.68e-05,0,9.35e-05,0
"115","South Carolina",41,"SC",8202,"Charleston",34547,17022,17525,0.0011868,-6.73649466954761,0.0001447,0.0002605,0.0001737,0.0001737,8.68e-05,0.0002605,0.0018212,-6.30825965450365,0.0002937,0.0004112,0.0001762,0.0002937,0.0001762,0.0002937,0.0001762,0.0005706,-7.46882211918487,0,0.0001141,0.0001712,5.71e-05,0,0.0002282,0
"116","South Carolina",41,"SC",8300,"Greenville",49743,25061,24680,0.0011861,-6.73708466492904,0.0001608,0.0002412,0.0001809,0.000201,4.02e-05,0.0002211,0.0017557,-6.34488764118911,0.0002793,0.0004389,0.0001197,0.0002394,7.98e-05,0.000399,0.0001995,0.0006078,-7.40566467748158,4.05e-05,4.05e-05,0.0002431,0.0001621,0,4.05e-05,8.1e-05
"117","Georgia",11,"GA",8401,"Aiken",34648,17320,17319,0.0014431,-6.54096170152224,0.0001443,0.0003175,0.0002309,0.0001443,0.0002886,0.0002309,0.002194,-6.1220289171291,0.0001732,0.0005196,0.0002309,0.0002887,0.0004619,0.0004042,0.0001155,0.0006929,-7.27462486933094,0.0001155,0.0001155,0.000231,0,0.0001155,5.77e-05,5.77e-05
"122","Georgia",11,"GA",8601,"Waycross",7233,3588,3645,0.0004148,-7.7877140816089,0.0001383,0.0001383,0.0001383,0,0,0,0.0002787,-8.18537462347637,0,0.0002787,0,0,0,0,0,0.0005487,-7.50795871389934,0.0002743,0,0.0002743,0,0,0,0
"123","Georgia",11,"GA",8602,"Brunswick",5386,2756,2630,0.0007427,-7.20521836328902,0,0.0001857,0.0001857,0,0,0.0003713,0.0010885,-6.82295467728967,0,0.0003628,0,0,0,0.0007257,0,0.0003802,-7.87481312790995,0,0,0.0003802,0,0,0,0
"126","Georgia",11,"GA",8800,"Savannah",24363,12186,12175,0.0008209,-7.10510925861005,8.21e-05,0.0002052,0.0002052,0,4.1e-05,0.0001642,0.0011489,-6.76895031610495,8.21e-05,0.0003282,0.0002462,0,8.21e-05,0.0002462,0.0001641,0.0004928,-7.61540714574496,8.21e-05,8.21e-05,0.0001643,0,0,8.21e-05,8.21e-05
"127","Georgia",11,"GA",8900,"Macon",24772,12316,12454,0.0008881,-7.02642620869982,8.07e-05,0.0004037,0,0.0001615,0.0001211,0.0001211,0.0015427,-6.47422115094638,0.0001624,0.0007308,0,0.0002436,0.0002436,0.0001624,0,0.0002409,-8.33112864834345,0,8.03e-05,0,8.03e-05,0,8.03e-05,0
"128","Georgia",11,"GA",9001,"Vidalia",6644,3259,3385,0.0004515,-7.70293518510723,0,0,0.0001505,0,0.0001505,0,0.0006137,-7.39600434856922,0,0,0,0,0.0003068,0,0.0003068,0.0002954,-8.12718018786699,0,0,0.0002954,0,0,0,0
"131","Georgia",11,"GA",9100,"Atlanta",155150,77900,77225,0.001592,-6.44276419155995,5.8e-05,0.000477,0.0002643,0.0002127,0.0001805,0.0002385,0.0024262,-6.02142903162745,5.13e-05,0.0007959,0.0002953,0.0003979,0.0003081,0.0003594,0.0002182,0.0007511,-7.19397175927231,6.47e-05,0.0001554,0.0002331,2.59e-05,5.18e-05,0.0001165,0.0001036
"132","Georgia",11,"GA",9200,"Griffin",8210,4222,3986,0.0004872,-7.62683584156859,0,0.0001218,0,0.0001218,0.0001218,0.0001218,0.0007106,-7.24940087437735,0,0.0002369,0,0.0002369,0.0002369,0,0,0.0002509,-8.2904561045919,0,0,0,0,0,0.0002509,0
"133","Georgia",11,"GA",9301,"Winder",9838,4977,4859,0.0011181,-6.79612446281095,0,0.0007115,0,0,0,0.0002033,0.0018083,-6.31536810157334,0,0.0012055,0,0,0,0.0002009,0.0004018,0.0004116,-7.79545855400438,0,0.0002058,0,0,0,0.0002058,0
"135","Georgia",11,"GA",9400,"Gainesville",13609,6943,6666,0.0011757,-6.74589156409058,0,0.0002939,0.0002204,0.000147,7.35e-05,0.0002204,0.0017284,-6.3605591539065,0,0.0005761,0.0002881,0.000144,0.000144,0.0002881,0.0002881,0.0006001,-7.41841424996881,0,0,0.00015,0.00015,0,0.00015,0.00015
"136","Alabama",1,"AL",9500,"Talladega",8801,4396,4405,0.0004545,-7.69631264434674,0,0.0002272,0.0001136,0,0,0.0001136,0.0006824,-7.2898945617868,0,0.0002275,0.0002275,0,0,0.0002275,0,0.000227,-8.39056054048287,0,0.000227,0,0,0,0,0
"137","Georgia",11,"GA",9600,"LaGrange",28725,14389,14335,0.0007659,-7.17445894504873,0.0001044,0.0001393,0.0001741,0.0001044,3.48e-05,0.0002089,0.0013205,-6.62974482622709,0.0002085,0.000278,0.000278,0.0002085,6.95e-05,0.000278,0,0.0002093,-8.47174192851232,0,0,6.98e-05,0,0,0.0001395,0
"138","Georgia",11,"GA",9701,"Columbus",19546,9726,9818,0.0006651,-7.3155731526739,0,0.0002046,5.12e-05,0,5.12e-05,0.000307,0.0010282,-6.87994557834287,0,0.0003085,0.0001028,0,0.0001028,0.0004113,0.0001028,0.0003056,-8.09323350067191,0,0.0001019,0,0,0,0.0002037,0
"139","Georgia",11,"GA",9702,"Americus",3694,1860,1834,0.0008121,-7.11588707267591,0,0,0,0,0.0002707,0.0002707,0.0005376,-7.52839576875533,0,0,0,0,0.0005376,0,0,0.0010905,-6.82111897232259,0,0,0,0,0,0.0005453,0.0005453
"140","Alabama",1,"AL",9800,"Auburn",7470,3712,3758,0.0014726,-6.52072573302966,0,0.0008032,0.0006693,0,0,0,0.0024246,-6.02208871665179,0,0.0016164,0.0008082,0,0,0,0,0.0005322,-7.53849119942068,0,0,0.0005322,0,0,0,0
"141","Florida",10,"FL",9900,"Tallahassee",23707,11907,11798,0.001392,-6.57701371706991,0.0001265,0.0004218,0.0002531,0.0001265,0.0002531,0.0001265,0.0020156,-6.20683836115783,8.4e-05,0.0007559,0.000252,0.000252,0.0003359,0.000252,8.4e-05,0.0007628,-7.17851468423801,0.0001695,8.48e-05,0.0002543,0,0.0001695,0,8.48e-05
"142","Florida",10,"FL",10000,"Panama City",9959,5094,4865,0.0009037,-7.00901311105636,0,0.0003012,0.0004016,0,0.0001004,0.0001004,0.0013742,-6.5898835353673,0,0.0005889,0.0003926,0,0.0001963,0.0001963,0,0.0004111,-7.79667406406044,0,0,0.0004111,0,0,0,0
"145","Georgia",11,"GA",10200,"Albany",12439,6152,6287,0.0007235,-7.23141001189274,8.04e-05,8.04e-05,8.04e-05,8.04e-05,0.0002412,0.0001608,0.0006502,-7.33823055009447,0,0,0.0001625,0,0.0004876,0,0,0.0007953,-7.13679115600118,0.0001591,0.0001591,0,0.0001591,0,0.0003181,0
"147","Alabama",1,"AL",10302,"Dothan",14332,7279,7052,0.0006977,-7.26772134701908,0.0001395,0.0003489,0,6.98e-05,0,6.98e-05,0.0012364,-6.69555134770631,0.0002748,0.0006869,0,0.0001374,0,0.0001374,0,0.0001418,-8.86109294386625,0,0,0,0,0,0,0.0001418
"148","Mississippi",25,"MS",10400,"Meridian",10592,5358,5234,0.0005665,-7.47603347749621,9.44e-05,0,0,0.0002832,0,0.0001888,0.0009332,-6.976891017817,0.0001866,0,0,0.0005599,0,0.0001866,0,0.0001911,-8.56271370671805,0,0,0,0,0,0.0001911,0
"152","Alabama",1,"AL",10700,"Birmingham",62246,31178,31056,0.0010442,-6.86450423698782,0.0001285,0.0003534,0.0001285,8.03e-05,8.03e-05,0.0001928,0.0017641,-6.34011463366191,0.0001924,0.0007056,0.0001604,0.0001283,0.0001283,0.0003849,6.41e-05,0.000322,-8.04095901241987,6.44e-05,0,9.66e-05,3.22e-05,3.22e-05,0,9.66e-05
"153","Alabama",1,"AL",10801,"Tuscaloosa",16665,8326,8338,0.00042,-7.77525584668686,0,0.00024,6e-05,6e-05,0,0,0.0007206,-7.23542635965028,0,0.0004804,0,0.0001201,0,0,0.0001201,0.0001199,-9.02885249593081,0,0,0.0001199,0,0,0,0
"155","Florida",10,"FL",10900,"Pensacola",36004,18194,17808,0.0012221,-6.70718458852032,0.0001666,0.0003888,0.0001666,0.0001666,0.0001111,0.0001944,0.0019237,-6.25350486405214,0.0002199,0.0006596,0.0002199,0.0002748,0.0002199,0.0002748,5.5e-05,0.0005054,-7.59016036301018,0.0001123,0.0001123,0.0001123,5.62e-05,0,0.0001123,0
"156","Alabama",1,"AL",11001,"Mobile",39036,19702,19327,0.0006917,-7.27635822235773,7.69e-05,0.0002049,7.69e-05,7.69e-05,7.69e-05,5.12e-05,0.0010659,-6.84393576626918,0.0001015,0.0003553,0.0001015,5.08e-05,0.0001015,0.0001015,0.0002538,0.0003104,-8.07764876965521,5.17e-05,5.17e-05,5.17e-05,0.0001035,5.17e-05,0,0
"158","Alabama",1,"AL",11101,"Montgomery",24406,12217,12187,0.0005327,-7.53755214404132,8.19e-05,0.0002868,4.1e-05,0,0,4.1e-05,0.0009822,-6.92571560435913,0.0001637,0.000573,8.19e-05,0,0,8.19e-05,8.19e-05,8.21e-05,-9.40757254150589,0,0,0,0,0,0,8.21e-05
"160","Virginia",47,"VA",11201,"Bluefield",10593,5328,5265,0.000944,-6.96538439181877,0.0001888,9.44e-05,0,0.000472,0,0.0001888,0.0016892,-6.38350023490449,0.0001877,0.0001877,0,0.0009384,0,0.0003754,0,0.0001899,-8.56901294014603,0.0001899,0,0,0,0,0,0
"163","Virginia",47,"VA",11301,"Fredericksburg",15040,7596,7444,0.0015957,-6.44044276754789,6.65e-05,0.0007314,0.0001995,0.0001995,0.0001995,0.0001995,0.0027646,-5.89085931993402,0.0001316,0.0013165,0.0002633,0.0003949,0.0002633,0.0003949,0,0.000403,-7.81657399601759,0,0.0001343,0.0001343,0,0.0001343,0,0
"164","Maryland",21,"MD",11302,"Baltimore",139865,69318,70540,0.0021592,-6.13801749626048,0.0001644,0.0007078,0.0003646,0.0001859,0.0002073,0.0003646,0.003419,-5.67840716832497,0.0002308,0.0012551,0.0004761,0.0003174,0.0003751,0.0005193,0.0002452,0.0009215,-6.9895077808544,9.92e-05,0.0001701,0.0002552,5.67e-05,4.25e-05,0.0002126,8.51e-05
"166","District of Columbia",9,"DC",11304,"Washington DC",231014,114724,116278,0.0026535,-5.93187575569632,0.0002035,0.0010908,0.0004156,0.0002857,0.0002121,0.0003247,0.0042886,-5.45179493962914,0.0002615,0.0019351,0.0005404,0.0005056,0.0003487,0.000523,0.0001743,0.0010406,-6.86795780910807,0.0001462,0.000258,0.0002924,6.88e-05,7.74e-05,0.000129,6.88e-05
"167","Michigan",23,"MI",11401,"Marquette",8017,4083,3934,0.0038668,-5.55532798737382,0.0003742,0.0004989,0.0007484,0.0002495,0.0007484,0.0011226,0.0056331,-5.1790953666974,0.0002449,0.0009797,0.0004898,0.0002449,0.0014695,0.0019593,0.0002449,0.0020336,-6.19794765752908,0.0005084,0,0.0010168,0.0002542,0,0.0002542,0
"168","Michigan",23,"MI",11402,"Marinette",8140,4085,4055,0.0036855,-5.60334907733493,0.0006143,0.0006143,0.0003686,0.0002457,0.0009828,0.0006143,0.0058752,-5.13701517697816,0.0004896,0.001224,0.0004896,0.0004896,0.0017136,0.001224,0.0002448,0.0014797,-6.51591591445579,0.0007398,0,0.0002466,0,0.0002466,0,0.0002466
"169","Michigan",23,"MI",11403,"Sault Ste. Marie",3322,1704,1617,0.0021072,-6.16239522697526,0,0.000301,0.000602,0,0.000602,0.000602,0.0023474,-6.05444694629825,0,0.0005869,0.0005869,0,0,0.0011737,0,0.0018553,-6.28970887093144,0,0,0.0006184,0,0.0012369,0,0
"170","Michigan",23,"MI",11500,"Jackson",19475,9954,9521,0.002208,-6.11566815056729,0.0002054,0.0004621,0.0005135,0.0003081,0.0003081,0.0003081,0.0037171,-5.59481148461218,0.0003014,0.0009042,0.0006028,0.0005023,0.0006028,0.0006028,0.0002009,0.0006302,-7.3694733286411,0.000105,0,0.0004201,0.000105,0,0,0
"171","Michigan",23,"MI",11600,"Detroit",301139,151503,149606,0.0038421,-5.56173618686414,0.0002026,0.0009431,0.0003288,0.0005612,0.00088,0.0006841,0.0061979,-5.08354475398359,0.00033,0.0016633,0.0003894,0.0009439,0.0014983,0.0010363,0.0003366,0.0014572,-6.53123849282987,7.35e-05,0.0002139,0.0002674,0.0001738,0.000254,0.0003275,0.0001471
"172","Michigan",23,"MI",11700,"Lansing",27825,14002,13821,0.0033783,-5.69038265459318,0.0001797,0.0008266,0.0002875,0.0004672,0.0006828,0.000575,0.0057849,-5.15250420457061,0.0002143,0.0015712,0.0003571,0.0009284,0.0012141,0.0009284,0.0005713,0.0009406,-6.96899258845333,0.0001447,7.24e-05,0.0002171,0,0.0001447,0.0002171,0.0001447
"173","Michigan",23,"MI",11800,"Mount Pleasant",7837,3937,3900,0.0014036,-6.56871491425521,0.0003828,0.0001276,0.0001276,0,0.0001276,0.000638,0.002286,-6.08095171360952,0.000762,0.000254,0,0,0.000254,0.001016,0,0.0005128,-7.57562465235781,0,0,0.0002564,0,0,0.0002564,0
"174","Michigan",23,"MI",11900,"Saginaw",35111,17664,17446,0.0034177,-5.6787874687669,0.0005696,0.0005696,0.0003703,0.0004557,0.0005411,0.0006266,0.0056046,-5.18416758985742,0.0009624,0.0010756,0.0003963,0.000736,0.001019,0.0010756,0.0003397,0.0012037,-6.72235513257858,0.000172,5.73e-05,0.0003439,0.000172,5.73e-05,0.000172,0.0002293
"175","Michigan",23,"MI",12001,"Big Rapids",7859,3997,3862,0.0022904,-6.07902880418037,0.0003817,0.0002545,0.0002545,0.0002545,0.0002545,0.0006362,0.0042532,-5.46008363818734,0.0007506,0.0005004,0.0005004,0.0005004,0.0005004,0.0012509,0.0002502,0.0002589,-8.25906867120678,0,0,0,0,0,0,0.0002589
"176","Michigan",23,"MI",12002,"Ludington",3318,1677,1641,0.0033153,-5.70920716170143,0.0003014,0.0009042,0.0006028,0.0003014,0.0003014,0.0006028,0.0053667,-5.22754208449899,0.0005963,0.0017889,0.0005963,0.0005963,0.0005963,0.0011926,0,0.0012188,-6.70988851085272,0,0,0.0006094,0,0,0,0.0006094
"177","Michigan",23,"MI",12100,"Kalamazoo",30731,15491,15240,0.0027985,-5.87867171963286,0.0002929,0.0006183,0.0005206,0.0002278,0.0006183,0.0003905,0.0045188,-5.3995088071115,0.0005164,0.0010974,0.0007101,0.0003228,0.0010329,0.0006455,0.0001937,0.0010499,-6.85906035744338,6.56e-05,0.0001312,0.0003281,0.0001312,0.0001969,0.0001312,6.56e-05
"178","Michigan",23,"MI",12200,"Grand Rapids",86290,43258,43031,0.0028509,-5.8601205450789,0.0002781,0.0006258,0.0002318,0.0004983,0.0004056,0.0006026,0.0049702,-5.30429519823457,0.0004392,0.0011096,0.0003236,0.0008322,0.0007397,0.0011327,0.000393,0.0007204,-7.23570394466247,0.0001162,0.0001394,0.0001394,0.0001627,6.97e-05,6.97e-05,2.32e-05
"179","Michigan",23,"MI",12301,"Traverse City",9458,4819,4637,0.0030662,-5.78731626908792,0.0004229,0.0003172,0.0005287,0.0004229,0.0005287,0.0008458,0.0051878,-5.26144556377219,0.00083,0.000415,0.00083,0.0006225,0.00083,0.0016601,0,0.0008626,-7.05555947375053,0,0.0002157,0.0002157,0.0002157,0.0002157,0,0
"180","Michigan",23,"MI",12302,"Petoskey",5292,2710,2582,0.0017007,-6.37671534796591,0.0003779,0.0003779,0.000189,0.000189,0,0.0003779,0.002952,-5.82527237224391,0.000738,0.000369,0.000369,0.000369,0,0.000738,0.000369,0.0003873,-7.85631097144357,0,0.0003873,0,0,0,0,0
"181","Michigan",23,"MI",12401,"Alpena",5407,2770,2637,0.0022193,-6.11056344813559,0,0.0005548,0.0001849,0.0001849,0.0005548,0.0005548,0.0025271,-5.98068287874331,0,0.000361,0,0,0.001083,0.001083,0,0.0018961,-6.26795613392412,0,0.0007584,0.0003792,0.0003792,0,0,0.0003792
"182","Michigan",23,"MI",12402,"Grayling charter",6541,3338,3203,0.0018346,-6.30092880488872,0.0003058,0,0,0.0009173,0.0003058,0.0003058,0.0026962,-5.91591190470731,0.0002996,0,0,0.0014979,0.0005992,0.0002996,0,0.0009366,-6.97325426121483,0.0003122,0,0,0.0003122,0,0.0003122,0
"183","Ohio",36,"OH",12501,"Dayton",74729,37475,37244,0.0019671,-6.23119490202659,0.0003212,0.0004817,0.0002543,0.0001873,0.0003212,0.0002676,0.0029887,-5.8129167687336,0.0004536,0.0008005,0.000427,0.0002402,0.0005604,0.0003202,0.0001868,0.0009397,-6.96994988257525,0.0001879,0.0001611,8.05e-05,0.0001342,8.05e-05,0.0002148,8.05e-05
"184","Ohio",36,"OH",12502,"Washington Court House",7349,3799,3548,0.0006804,-7.29282969744257,0.0001361,0,0.0001361,0,0.0002721,0.0001361,0.0007897,-7.14385743146074,0.0002632,0,0,0,0.0005265,0,0,0.0005637,-7.48098836287674,0,0,0.0002818,0,0,0.0002818,0
"186","Ohio",36,"OH",12701,"Cincinnati",123381,61968,61403,0.0030556,-5.79077930629707,0.0003404,0.0006808,0.0004701,0.0003485,0.0002594,0.000543,0.0047282,-5.35421069858858,0.0005164,0.0011296,0.0006132,0.0006132,0.0005003,0.0008391,0.0005164,0.001368,-6.59440545978178,0.0001629,0.000228,0.0003257,8.14e-05,1.63e-05,0.0002443,0.0003094
"188","Indiana",15,"IN",12800,"Washington",9417,4696,4721,0.0025486,-5.9722110901861,0,0.000531,0.0001062,0.0004248,0.0007433,0.0004248,0.0042589,-5.45874436800678,0,0.0006388,0.0002129,0.0008518,0.0014906,0.0008518,0.0002129,0.0008473,-7.07345573475986,0,0.0004236,0,0,0,0,0.0004236
"189","Kentucky",18,"KY",12901,"Lexington-Fayette",27453,13866,13586,0.0022948,-6.07710958523656,0.0001457,0.0009835,0.000255,0.0002186,0.0004007,0.0001821,0.0039665,-5.52987118522222,0.0002164,0.001803,0.0004327,0.0004327,0.0007212,0.0001442,0.0002164,0.0005888,-7.43742399054961,7.36e-05,0.0001472,7.36e-05,0,7.36e-05,0.0002208,0
"191","Kentucky",18,"KY",12903,"Danville",4921,2433,2488,0.0012193,-6.70947835539805,0,0,0.0004064,0.0002032,0.0002032,0.0002032,0.0016441,-6.41056215694744,0,0,0.000411,0.000411,0.000411,0.000411,0,0.0008039,-7.12603567463036,0,0,0.0004019,0,0,0,0.0004019
"193","Kentucky",18,"KY",13101,"Louisville",65007,32542,32463,0.0015075,-6.49730262936293,0.0001846,0.0003692,0.0001846,9.23e-05,0.0001231,0.0003692,0.0023047,-6.07280476284783,0.0002766,0.0006146,0.0002766,0.0001844,0.0001844,0.0006146,0.0001536,0.0007085,-7.25236049883354,9.24e-05,0.0001232,9.24e-05,0,6.16e-05,0.0001232,0.0002156
"194","Indiana",15,"IN",13102,"Madison",3025,1517,1508,0.0013223,-6.6283826344015,0.0003306,0.0003306,0,0,0.0003306,0.0003306,0.0019776,-6.2258712907009,0,0.0006592,0,0,0.0006592,0.0006592,0,0.0006631,-7.31858474958945,0.0006631,0,0,0,0,0,0
"196","Kentucky",18,"KY",13200,"Owensboro",11238,5600,5638,0.0015127,-6.49385914539612,0.000178,0.000267,0.000178,0.000178,0.000267,0.0003559,0.0025,-5.99146454710798,0.0003571,0.0005357,0.0001786,0.0001786,0.0005357,0.0007143,0,0.0005321,-7.53867911636195,0,0,0.0001774,0.0001774,0,0,0.0001774
"197","Ohio",36,"OH",13300,"Findlay",16630,8259,8369,0.0021648,-6.13542730054775,0.0003608,0.0004209,0.0001804,0.0003007,0.0002405,0.0002405,0.0037535,-5.58506654095122,0.0004843,0.0007265,0.0002422,0.0006054,0.0004843,0.0004843,0.0007265,0.0005974,-7.42292365218226,0.000239,0.0001195,0.0001195,0,0,0,0.0001195
"198","Ohio",36,"OH",13400,"Lima",19527,9905,9621,0.0024581,-6.00836658518334,0.0002561,0.0003073,0.0004609,5.12e-05,0.0005633,0.0005121,0.0035336,-5.64543809768196,0.0002019,0.0006058,0.0004038,0.000101,0.0011106,0.0007067,0.0004038,0.0013512,-6.60676219247068,0.0003118,0,0.0005197,0,0,0.0003118,0.0002079
"199","Ohio",36,"OH",13501,"Toledo",54484,27443,27038,0.0026063,-5.94982368794891,0.0003487,0.0004405,0.0002753,0.000569,0.0003304,0.0004221,0.0042634,-5.45768831496518,0.0006195,0.0007288,0.0003644,0.0010567,0.0006559,0.000583,0.0002551,0.0009246,-6.98614934641015,7.4e-05,0.0001479,0.0001849,7.4e-05,0,0.0002589,0.0001849
"200","Ohio",36,"OH",13502,"Defiance",7297,3661,3636,0.0013704,-6.59265261095436,0,0.0004111,0.000137,0.000137,0.0002741,0.000137,0.0024583,-6.00828522483833,0,0.0008194,0.0002731,0.0002731,0.0005463,0.0002731,0.0002731,0.000275,-8.1987394602977,0,0,0,0,0,0,0.000275
"201","Indiana",15,"IN",13600,"South Bend",42278,21408,20870,0.0022943,-6.07732749288816,0.0003075,0.0005677,0.0002365,0.0001656,0.0005677,0.0003548,0.0037836,-5.57707934162526,0.0004671,0.0009809,0.000327,0.0002803,0.0010277,0.0005138,0.0001868,0.0007667,-7.17341496739943,0.0001437,0.0001437,0.0001437,4.79e-05,9.58e-05,0.0001917,0
"202","Indiana",15,"IN",13700,"Concord",24685,12565,12120,0.0020255,-6.20193869532153,8.1e-05,0.0003241,0.0002026,0.0003241,0.0004051,0.0004456,0.0035018,-5.65447815697206,7.96e-05,0.0006367,0.0003183,0.0004775,0.0007163,0.0007959,0.0004775,0.000495,-7.61095279539558,8.25e-05,0,8.25e-05,0.000165,8.25e-05,8.25e-05,0
"203","Indiana",15,"IN",13800,"Wayne",8921,4570,4351,0.0040354,-5.5126498495837,0.0002242,0.0005605,0.0016814,0.0002242,0.0006726,0.0005605,0.0067834,-4.99327682780011,0.0002188,0.0010941,0.002407,0.0004376,0.0013129,0.0010941,0.0002188,0.0011492,-6.76868923085914,0.0002298,0,0.0009193,0,0,0,0
